"","V1","V2","V3","V4"
"1",150.610065913527,150.610065913309,150.610065913309,150.610065913309
"2",151.360896166236,151.360896165767,151.360896165767,151.360896165767
"3",152.626108553802,152.626108552947,152.626108552947,152.626108552947
"4",153.346899338747,153.346899337532,153.346899337532,153.346899337532
"5",153.578452955473,153.578452953964,153.578452953964,153.578452953964
"6",154.095471334789,154.095471333008,154.095471333008,154.095471333008
"7",154.97687395847,154.976873956206,154.976873956206,154.976873956206
"8",155.104265893273,155.104265890646,155.104265890646,155.104265890646
"9",155.043648694187,155.04364869125,155.04364869125,155.04364869125
"10",155.740783722955,155.740783719459,155.740783719459,155.740783719459
"11",156.536539325287,156.536539321119,156.536539321119,156.536539321119
"12",157.139072149294,157.139072144401,157.139072144401,157.139072144401
"13",158.556551035609,158.556551027884,158.556551027884,158.556551027884
"14",159.913045268073,159.913045263245,159.913045263245,159.913045263245
"15",160.338123944044,160.338123916063,160.338123916063,160.338123916063
"16",160.89456606805,160.894565876359,160.894565876359,160.894565876359
"17",161.065327059181,161.065326938283,161.065326938283,161.065326938283
"18",160.906943036322,160.906942859212,160.906942859212,160.906942859212
"19",161.040184363035,161.040184377165,161.040184377165,161.040184377165
"20",161.979982400365,161.979982698928,161.979982698928,161.979982698928
"21",163.57260850649,163.572608273247,163.572608273247,163.572608273247
"22",164.057035678523,164.056670986103,164.056670986103,164.056670986103
"23",164.43715647744,164.436786491072,164.436786491072,164.436786491072
"24",166.338422366242,166.3387584658,166.3387584658,166.3387584658
"25",167.364709284233,167.365116839671,167.365116839671,167.365116839671
"26",167.204402434817,167.204758373788,167.204758373788,167.204758373788
"27",167.863796791494,167.864338814158,167.864338814158,167.864338814158
"28",168.647132061177,168.647559110363,168.647559110363,168.647559110363
"29",169.041044647053,169.041540870332,169.041540870332,169.041540870332
"30",169.07676187983,169.076939788617,169.076939788617,169.076939788617
"31",168.490077285099,168.490184323702,168.490184323702,168.490184323702
"32",168.032310166584,168.032266673746,168.032266673746,168.032266673746
"33",168.488200238382,168.488216712684,168.488216712684,168.488216712684
